%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1651207311419553399,1158,1651207311418543542,imu_link,-3.23648796082e-05,7.28781986237e-06,5.33402519226e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311425468834,1159,1651207311424434501,imu_link,-3.08450584412e-05,7.99279785156e-06,5.19486083984e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311437816661,1160,1651207311436525774,imu_link,-3.46171455383e-05,7.28781986237e-06,5.33585624695e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311449399899,1161,1651207311448351320,imu_link,-3.23740348816e-05,7.34275341034e-06,5.61418495178e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311455540694,1162,1651207311454458205,imu_link,-3.46354560852e-05,6.59199810028e-06,5.5436870575e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311467391307,1163,1651207311466484088,imu_link,-3.16141242981e-05,7.31528663635e-06,5.47410507202e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311479398632,1164,1651207311478430841,imu_link,-3.31156349182e-05,7.29697561264e-06,5.40452270508e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311485570562,1165,1651207311484384525,imu_link,-3.2383190155e-05,9.55839729309e-06,5.6874294281e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311497514593,1166,1651207311496363892,imu_link,-3.31156349182e-05,9.48515319824e-06,5.33860282898e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311509485092,1167,1651207311508502425,imu_link,-3.38663902283e-05,8.02026462555e-06,5.33677177429e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311515363277,1168,1651207311514433368,imu_link,-3.38938560486e-05,6.64693117142e-06,5.82293167114e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311527601402,1169,1651207311526363146,imu_link,-3.38755455017e-05,7.31528663635e-06,5.47502059937e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311539348207,1170,1651207311538383893,imu_link,-3.38663902283e-05,1.31839962006e-05,5.48509178162e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311545333215,1171,1651207311544379989,imu_link,-3.16232795715e-05,1.10232858658e-05,5.69017601013e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311558211612,1172,1651207311556471476,imu_link,-3.5358745575e-05,9.45768642426e-06,5.20035400391e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311569579632,1173,1651207311568409474,imu_link,-3.38663902283e-05,6.53706455231e-06,5.26352729797e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311575631662,1174,1651207311574588603,imu_link,-3.08816795349e-05,1.02999973297e-05,5.75792732239e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311587347423,1175,1651207311586402454,imu_link,-3.23740348816e-05,9.5309305191e-06,5.54826507568e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311599712358,1176,1651207311598419082,imu_link,-3.68694114685e-05,9.47599697113e-06,5.27085189819e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311607310580,1177,1651207311604558710,imu_link,-3.31247901917e-05,8.04773139954e-06,5.47593612671e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
